Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Regression_TS,Chrome 128.0.0.0,,,02-09-2024 19:16:31,02-09-2024 19:18:13,1m - 42.375s,FAILED
,,,,,,,
Test Cases/OrderPlacement,Chrome 128.0.0.0,,,02-09-2024 19:16:31,02-09-2024 19:17:24,52.745s,PASSED
"openBrowser("""")",Chrome 128.0.0.0,,,02-09-2024 19:16:32,02-09-2024 19:16:36,4.300s,PASSED
navigateToUrl(AppUrl),Chrome 128.0.0.0,,,02-09-2024 19:16:36,02-09-2024 19:16:41,4.186s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,02-09-2024 19:16:41,02-09-2024 19:16:41,0.082s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/a_Sign In""))",Chrome 128.0.0.0,,,02-09-2024 19:16:41,02-09-2024 19:16:42,1.786s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Email_loginusername""), Username)",Chrome 128.0.0.0,,,02-09-2024 19:16:42,02-09-2024 19:16:43,0.985s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 128.0.0.0,,,02-09-2024 19:16:43,02-09-2024 19:16:44,0.699s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Customer Login/span_Sign In""))",Chrome 128.0.0.0,,,02-09-2024 19:16:44,02-09-2024 19:16:47,2.696s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""))",Chrome 128.0.0.0,,,02-09-2024 19:16:47,02-09-2024 19:16:50,2.871s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Men/a_Jackets""))",Chrome 128.0.0.0,,,02-09-2024 19:16:50,02-09-2024 19:16:52,1.907s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Jackets - Tops - Men/a_Montana Wind Jacket""))",Chrome 128.0.0.0,,,02-09-2024 19:16:52,02-09-2024 19:16:53,1.839s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/div_L""))",Chrome 128.0.0.0,,,02-09-2024 19:16:53,02-09-2024 19:17:01,7.430s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/div_Color_option-label-color-93-item-53""))",Chrome 128.0.0.0,,,02-09-2024 19:17:01,02-09-2024 19:17:02,0.766s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/input_Qty_qty""), quantity)",Chrome 128.0.0.0,,,02-09-2024 19:17:02,02-09-2024 19:17:03,0.947s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/span_Add to Cart""))",Chrome 128.0.0.0,,,02-09-2024 19:17:03,02-09-2024 19:17:03,0.411s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/span_4""))",Chrome 128.0.0.0,,,02-09-2024 19:17:03,02-09-2024 19:17:08,4.576s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/button_Proceed to Checkout""))",Chrome 128.0.0.0,,,02-09-2024 19:17:08,02-09-2024 19:17:11,3.458s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Checkout/input_Best Way_ko_unique_4""))",Chrome 128.0.0.0,,,02-09-2024 19:17:11,02-09-2024 19:17:13,2.153s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Checkout/span_Next""))",Chrome 128.0.0.0,,,02-09-2024 19:17:13,02-09-2024 19:17:13,0.315s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Checkout/span_Place Order""))",Chrome 128.0.0.0,,,02-09-2024 19:17:13,02-09-2024 19:17:17,3.357s,PASSED
takeScreenshot(),Chrome 128.0.0.0,,,02-09-2024 19:17:17,02-09-2024 19:17:22,4.808s,PASSED
"strOrderNumber = getText(findTestObject(""Object Repository/Ecomm/Page_Success Page/strong_OrderNumber""))",Chrome 128.0.0.0,,,02-09-2024 19:17:22,02-09-2024 19:17:22,0.287s,PASSED
"logInfo(""Order Number: "" + strOrderNumber)",Chrome 128.0.0.0,,,02-09-2024 19:17:22,02-09-2024 19:17:22,0.000s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Success Page/strong_OrderNumber""))",Chrome 128.0.0.0,,,02-09-2024 19:17:22,02-09-2024 19:17:24,1.936s,PASSED
"markPassed(""Test Passed"")",Chrome 128.0.0.0,,,02-09-2024 19:17:24,02-09-2024 19:17:24,0.009s,PASSED
closeBrowser(),Chrome 128.0.0.0,,,02-09-2024 19:17:24,02-09-2024 19:17:24,0.303s,PASSED
,,,,,,,
Test Cases/OrderPlacement,Chrome 128.0.0.0,,,02-09-2024 19:17:24,02-09-2024 19:18:13,49.098s,FAILED
"openBrowser("""")",Chrome 128.0.0.0,,,02-09-2024 19:17:24,02-09-2024 19:17:25,0.997s,PASSED
navigateToUrl(AppUrl),Chrome 128.0.0.0,,,02-09-2024 19:17:25,02-09-2024 19:17:29,3.389s,PASSED
maximizeWindow(),Chrome 128.0.0.0,,,02-09-2024 19:17:29,02-09-2024 19:17:29,0.093s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/a_Sign In""))",Chrome 128.0.0.0,,,02-09-2024 19:17:29,02-09-2024 19:17:30,1.674s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Email_loginusername""), Username)",Chrome 128.0.0.0,,,02-09-2024 19:17:30,02-09-2024 19:17:31,0.917s,PASSED
"setText(findTestObject(""Object Repository/Ecomm/Page_Customer Login/input_Password_loginpassword""), Password)",Chrome 128.0.0.0,,,02-09-2024 19:17:31,02-09-2024 19:17:32,0.566s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Customer Login/span_Sign In""))",Chrome 128.0.0.0,,,02-09-2024 19:17:32,02-09-2024 19:17:34,2.118s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Home Page/span_Shorts_ui-menu-icon ui-icon ui-icon-carat-1-e""))",Chrome 128.0.0.0,,,02-09-2024 19:17:34,02-09-2024 19:17:37,2.650s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Men/a_Jackets""))",Chrome 128.0.0.0,,,02-09-2024 19:17:37,02-09-2024 19:17:38,1.814s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Jackets - Tops - Men/a_Montana Wind Jacket""))",Chrome 128.0.0.0,,,02-09-2024 19:17:38,02-09-2024 19:17:40,1.686s,PASSED
"click(findTestObject(""Object Repository/Ecomm/Page_Montana Wind Jacket/div_L""))",Chrome 128.0.0.0,,,02-09-2024 19:17:40,02-09-2024 19:18:13,33.130s,FAILED
